Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2019-05-27,2019,2019,5,May,22,W22,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,27/05/2019,False
2019-05-15,2019,2019,5,May,20,W20,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,15/05/2019,False
2019-05-04,2019,2019,5,May,18,W18,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,04/05/2019,False
2019-05-01,2019,2019,5,May,18,W18,Wednesday,Last Month's Balance,April's Balance,Blank,Blank,Blank,Income,215.8,01/05/2019,True
2019-04-21,2019,2019,4,April,16,W16,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,21/04/2019,False
2019-04-14,2019,2019,4,April,15,W15,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,14/04/2019,False
2019-04-03,2019,2019,4,April,14,W14,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,03/04/2019,False
2019-04-01,2019,2019,4,April,14,W14,Monday,Last Month's Balance,March's Balance,Blank,Blank,Blank,Income,115.3,01/04/2019,False
2019-03-23,2019,2019,3,March,12,W12,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,23/03/2019,False
2019-03-14,2019,2019,3,March,11,W11,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,14/03/2019,False
2019-03-02,2019,2019,3,March,9,W9,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,02/03/2019,False
2019-03-01,2019,2019,3,March,9,W9,Friday,Last Month's Balance,February's Balance,Blank,Blank,Blank,Income,154.8,01/03/2019,False
2019-02-23,2019,2019,2,February,8,W8,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,23/02/2019,False
2019-02-05,2019,2019,2,February,6,W6,Tuesday,Others,Others,Blank,Blank,Blank,Income,400.0,05/02/2019,False
2019-02-01,2019,2019,2,February,5,W5,Friday,Last Month's Balance,January's Balance,Blank,Blank,Blank,Income,94.0,01/02/2019,False
2019-01-26,2019,2019,1,January,4,W4,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,26/01/2019,False
2019-01-19,2019,2019,1,January,3,W3,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,19/01/2019,False
2019-01-05,2019,2019,1,January,1,W1,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,05/01/2019,False
2019-01-01,2019,2019,1,January,1,W1,Tuesday,Last Month's Balance,December's Balance,Blank,Blank,Blank,Income,82.4,01/01/2019,False
2018-12-22,2018,2018,12,December,51,W51,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,22/12/2018,False
2018-12-09,2018,2018,12,December,49,W49,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,09/12/2018,False
2018-12-01,2018,2018,12,December,48,W48,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,01/12/2018,False
2018-12-01,2018,2018,12,December,48,W48,Saturday,Last Month's Balance,November's Balance,Blank,Blank,Blank,Income,121.2,01/12/2018,False
