Date,Income/Expenses,Category,Memo,Amount
2019-05-28,Expenses,Telephone,"Top Up Singtel Card @7-Eleven, Clementi",-10.0
2019-05-28,Expenses,Gift,,-15.3
2019-05-28,Expenses,Drinks,"Bubble Tea @Koi, Takashimaya, Orchard",-1.8
2019-05-28,Expenses,Gift,,-32.0
2019-05-28,Expenses,Food,"Korean BBQ @I Am Kim, Rochor",-15.0
2019-05-28,Expenses,Gift,,-8.3
2019-05-27,Expenses,Gift,,-8.3
2019-05-27,Expenses,Fruits,"Juice @Boost Juice Bars, Bugis Junction, Bugis",-3.0
2019-05-27,Expenses,Food,"Fried Seafood Hor Fun @Food Junction, Bugis Junction, Bugis",-6.5
2019-05-27,Income,Cash Withdrawal,,100.0
2019-05-27,Expenses,Snacks,"Snacks @Old Chang Kee, Clementi Mall, Clementi",-5.2
2019-05-26,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
2019-05-26,Expenses,Food,"Chicken Burger @Jinjja Chicken, Clementi Mall, Clementi",-10.4
2019-05-25,Expenses,Food,"Katsu Don @Cook House, JEM, Jurong East",-5.5
2019-05-25,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2019-05-25,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
2019-05-24,Expenses,Food,"Red Mee Sua @Food District, Rochor",-5.0
2019-05-24,Expenses,Drinks,"Lemon Boom @Heytea, Clarke Quay",-2.7
2019-05-24,Expenses,Dessert,"Chocolate Waffle @The Daily Scoop, Rochor",-3.9
2019-05-24,Expenses,Snacks,"Seaweed + Ruffles @Cold Storage, Plaza Singapura, Dhoby Ghaut",-4.3
2019-05-24,Expenses,Food,"Salted Egg Chicken Rice @Sim Lim Square, Rochor",-5.8
2019-05-23,Expenses,Groceries,"Groceries @Cold Storage, Takashimaya, Orchard",-16.0
2019-05-23,Expenses,Drinks,"Bubble Tea @Li-Ho, Peace Centre, Rochor",-1.0
2019-05-23,Expenses,Telephone,"Top Up Singtel Card @7-Eleven, Clementi",-10.0
