Date,Income/Expenses,Category,Memo,Amount
2023-12-31,Income,Balance Adjustment,,100
2023-12-13,Expenses,Transportation,Grab from Clementi to Changi,-38
2023-12-13,Income,Cash Withdrawal,,300
2023-12-13,Expenses,Telephone,Top Up Singtel Card,-13
2023-12-12,Expenses,Food,"Burrito Bowl @Guzman Y Gomez, Star Vista, Buona Vista",-10.4
2023-12-12,Expenses,Food,Mala @Tanjong Pagar,-19.9
2023-12-11,Expenses,Food,"Beef Burger @MOS Burger, Raffles City, City Hall",-8.1
2023-12-11,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-12-10,Expenses,Sport,"Gym Session @The Gym Pod, Holland Village",-11.9
2023-12-10,Expenses,Gift,,-22.2
2023-12-10,Expenses,Entertainment,"Entry Ticket @Flower Dome, Gardens by the Bay",-12
2023-12-10,Expenses,Transportation,Grab from Allo to Bukit Junction,-4
2023-12-10,Expenses,Food,"Dinner @Allo, Jalan Besar",-51
2023-12-10,Expenses,Food,"Breakfast @Paris Baguette, One Holland Village, Holland Village",-15.5
2023-12-09,Expenses,Food,"Western Food @Common Grill, Clementi",-18
2023-12-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.1
2023-12-08,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-12-07,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-12-07,Expenses,Food,"Pasta @Milan Tei, Vivo City, Harbourfront",-18.2
2023-12-06,Expenses,Food,"Meatball Rice @Ah Lock & Co, Guoco Tower, Tanjong Pagar",-9.8
2023-12-05,Expenses,Food,"Sushi @Sushiro, Suntec City, Promenade",-18.5
2023-12-05,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-12-04,Income,Cash Withdrawal,,300
2023-12-04,Expenses,Food,Chicken Rice @Clementi,-6.4
2023-12-04,Expenses,Food,Mixed Rice @Tanjong Pagar,-5.5
2023-12-03,Expenses,Sport,"Gym Session @The Gym Pod, International Business Park, Jurong East",-11.9
2023-12-03,Expenses,Clothing,"Polo Shirt @G2000, IMM, Jurong East",-35.4
2023-12-03,Expenses,Food,"Ramen @Ajisen, IMM, jurong East",-19.5
2023-12-03,Expenses,Drinks,"Pure Dark Chocolate @Coffee Bean & Tea Leaf, IMM, Jurong East",-4
2023-12-03,Expenses,Food,"Breakfast @Mc Donald's, Clementi",-7.4
2023-12-03,Expenses,Clothing,"Training Shirt @Under Armour, IMM, Jurong East",-35
2023-12-02,Expenses,Food,"Western Food @Common Grill, Clementi",-15
2023-12-01,Expenses,Food,Fried Rice @Clementi,-7.7
2023-12-01,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-12-01,Income,Balance from Previous Month,November's Balance,102.4
2023-11-30,Income,Balance Adjustment,,100
2023-11-30,Expenses,Food,Roasted Pork Rice @Clementi,-5
2023-11-30,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-29,Expenses,Food,Roasted Pork Rice @Clementi,-3.5
2023-11-29,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-11-28,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-27,Expenses,Food,Chicken Rice @Clementi,-3.9
2023-11-27,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-26,Expenses,Drinks,"Drinks @Koi, Suntec City, Esplanade",-8.5
2023-11-26,Expenses,Food,"Burger @Shake Shack, Suntec City, Esplanade",-14.9
