,District,Total_Amount,Avg_Amount,Transaction_Count
0,Bayfront,150.8,10.771428571428572,14
1,Beauty World,173.5,12.392857142857142,14
2,Bedok,212.1,14.139999999999999,15
3,Bishan,8.0,8.0,1
4,Blank,6043.5,24.66734693877551,245
5,Boon Keng,40.0,40.0,1
6,Boon Lay,102.2,11.355555555555556,9
7,Bugis,635.9,11.156140350877193,57
8,Bukit Batok,6.6,6.6,1
9,Bukit Timah,47.4,15.799999999999999,3
10,Buona Vista,428.6,9.967441860465117,43
11,Changi,320.7,13.943478260869565,23
12,City Hall,278.45,14.655263157894737,19
13,Clarke Quay,11.899999999999999,5.949999999999999,2
14,Clementi,13448.4,7.226437399247716,1861
15,Commonwealth,12.2,6.1,2
16,Dhoby Ghaut,557.1,16.38529411764706,34
17,Dover,199.9,3.701851851851852,54
18,Esplanade,220.89999999999998,15.778571428571427,14
19,Expo,9.8,4.9,2
20,Farrer Park,19.2,3.84,5
21,Fort Canning,33.7,5.616666666666667,6
22,Gardens By The Bay,24.0,24.0,1
23,Geylang Bahru,9.5,3.1666666666666665,3
24,Harbourfront,631.2,12.13846153846154,52
25,Hillview,60.5,30.25,2
26,Holland Village,363.8,9.095,40
27,Jurong East,1835.8,9.923243243243244,185
28,King Albert Park,26.0,6.5,4
29,Kranji,6.5,2.1666666666666665,3
30,Labrador Park,9.7,4.85,2
31,Lavender,14.7,7.35,2
32,Little India,8.5,8.5,1
33,Marina Bay,9.0,9.0,1
34,Maxwell,103.1,51.55,2
35,Novena,15.4,5.133333333333334,3
36,Orchard,1287.5,12.5,103
37,Outram Park,158.1,39.525,4
38,Paya Lebar,110.7,13.8375,8
39,Promenade,436.75,11.493421052631579,38
40,Queenstown,93.1,7.758333333333333,12
41,Raffles Place,96.3,9.629999999999999,10
42,Rochor,86.9,6.684615384615385,13
43,Serangoon,12.7,4.233333333333333,3
44,Sixth Avenue,5.9,5.9,1
45,Somerset,610.3,16.060526315789474,38
46,Stadium,6.0,6.0,1
47,Tai Seng,71.1,23.7,3
48,Tanjong Pagar,2640.9,7.061229946524064,374
49,Telok Ayer,54.0,13.5,4
50,Tiong Bahru,39.3,39.3,1
51,Toa Payoh,10.4,10.4,1
52,Udemy,17.0,17.0,1
53,Ulu Pandan,35.7,7.140000000000001,5
54,Upper Thomson,17.799999999999997,8.899999999999999,2
55,West Coast,49.599999999999994,24.799999999999997,2
56,Yishun,17.5,4.375,4
