Date,Income/Expenses,Category,Memo,Amount
28/05/2019,Expenses,Telephone,"Top Up Singtel Card @7-Eleven, Clementi",-10
28/05/2019,Expenses,Gift,,-15.3
28/05/2019,Expenses,Drinks,"Bubble Tea @Koi, Takashimaya, Orchard",-1.8
28/05/2019,Expenses,Gift,,-32
28/05/2019,Expenses,Food,"Korean BBQ @I Am Kim, Rochor",-15
28/05/2019,Expenses,Gift,,-8.3
27/05/2019,Expenses,Gift,,-8.3
27/05/2019,Expenses,Fruits,"Juice @Boost Juice Bars, Bugis Junction, Bugis",-3
27/05/2019,Expenses,Food,"Fried Seafood Hor Fun @Food Junction, Bugis Junction, Bugis",-6.5
27/05/2019,Income,Cash Withdrawal,,100
27/05/2019,Expenses,Snacks,"Snacks @Old Chang Kee, Clementi Mall, Clementi",-5.2
26/05/2019,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
26/05/2019,Expenses,Food,"Chicken Burger @Jinjja Chicken, Clementi Mall, Clementi",-10.4
25/05/2019,Expenses,Food,"Katsu Don @Cook House, JEM, Jurong East",-5.5
25/05/2019,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4
25/05/2019,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
24/05/2019,Expenses,Food,"Red Mee Sua @Food District, Rochor",-5
24/05/2019,Expenses,Drinks,"Lemon Boom @Heytea, Clarke Quay",-2.7
24/05/2019,Expenses,Dessert,"Chocolate Waffle @The Daily Scoop, Rochor",-3.9
24/05/2019,Expenses,Snacks,"Seaweed + Ruffles @Cold Storage, Plaza Singapura, Dhoby Ghaut",-4.3
24/05/2019,Expenses,Food,"Salted Egg Chicken Rice @Sim Lim Square, Rochor",-5.8
23/05/2019,Expenses,Groceries,"Groceries @Cold Storage, Takashimaya, Orchard",-16
23/05/2019,Expenses,Drinks,"Bubble Tea @Li-Ho, Peace Centre, Rochor",-1
23/05/2019,Expenses,Telephone,"Top Up Singtel Card @7-Eleven, Clementi",-10
23/05/2019,Expenses,Food,"Braised Pork Rice @Food District, Rochor",-6
22/05/2019,Expenses,Food,"Nasi Lemak Burger @Mc. Donald's, Changi City Point, Expo",-8
22/05/2019,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
21/05/2019,Expenses,Drinks,"Beer @Stickies Bar, Clementi",-7
21/05/2019,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
21/05/2019,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
21/05/2019,Expenses,Movies,"John Wick 3: Parabellum @WE Cinema, 321 Clementi, Clementi",-7
20/05/2019,Expenses,Clothing,"T-Shirt @Uniqlo, ION Orchard, Orchard",-15
20/05/2019,Expenses,Dessert,"Churros @Chulove, Clementi Mall, Clementi",-2.8
20/05/2019,Expenses,Drinks,"Bubble Tea @Li-Ho, Clementi Mall, Clementi",-1
20/05/2019,Expenses,Food,"Jinjja Drumstick Bap Set @Jinjja Chicken, Clementi Mall, Clementi ",-9.8
20/05/2019,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
19/05/2019,Expenses,Snacks,"Truffle Cheese Fries + Chocolate Cake @Coffee Bean & Tea Leaf, Holland Village",-7.3
19/05/2019,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, Holland Village",-4.5
19/05/2019,Expenses,Food,"Fried Rice @Holland Food Market, Holland Village",-4.5
18/05/2019,Expenses,Dessert,"Churros @Chu-Love, Clementi Mall, Clementi",-3.5
18/05/2019,Expenses,Food,"Jinjja Drumstick Bap Set @Jinjja Chicken, Clementi Mall, Clementi",-10
18/05/2019,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
18/05/2019,Expenses,Groceries,"Sunshine's DIGSTV Bread @Fairprice Finest, Clementi Mall, Clementi",-2.4
17/05/2019,Expenses,Dessert,"Churros @Chu-Love, Clementi Mall, Clementi",-2.8
17/05/2019,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
16/05/2019,Expenses,Groceries,"Milk + Snack @Cold Storage, Holland Village",-4.7
16/05/2019,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
16/05/2019,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
15/05/2019,Expenses,Food,"Double Mc Spicy @Mc. Donald's, Terminal 2, Changi Airport",-8
15/05/2019,Expenses,Drinks,"Green Tea @Signature-Koi, Jewel Changi, Changi",-2.5
15/05/2019,Income,Cash Withdrawal,,200
