Date,Year,Month,Week,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount
2019-05-27,2019,May,W22,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2019-05-15,2019,May,W20,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-05-04,2019,May,W18,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-05-01,2019,May,W18,Wednesday,Last Month's Balance,April's Balance,Blank,Blank,Blank,Income,215.8
2019-04-21,2019,April,W16,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-04-14,2019,April,W15,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-04-03,2019,April,W14,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-04-01,2019,April,W14,Monday,Last Month's Balance,March's Balance,Blank,Blank,Blank,Income,115.3
2019-03-23,2019,March,W12,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2019-03-14,2019,March,W11,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-03-02,2019,March,W9,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-03-01,2019,March,W9,Friday,Last Month's Balance,February's Balance,Blank,Blank,Blank,Income,154.8
2019-02-23,2019,February,W8,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2019-02-05,2019,February,W6,Tuesday,Others,Others,Blank,Blank,Blank,Income,400.0
2019-02-01,2019,February,W5,Friday,Last Month's Balance,January's Balance,Blank,Blank,Blank,Income,94.0
2019-01-26,2019,January,W4,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2019-01-19,2019,January,W3,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-01-05,2019,January,W1,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-01-01,2019,January,W1,Tuesday,Last Month's Balance,December's Balance,Blank,Blank,Blank,Income,82.4
2018-12-22,2018,December,W51,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2018-12-09,2018,December,W49,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2018-12-01,2018,December,W48,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2018-12-01,2018,December,W48,Saturday,Last Month's Balance,November's Balance,Blank,Blank,Blank,Income,121.2
2018-11-17,2018,November,W46,Saturday,Cash Withdrawal,Cash Withdrawal ,Blank,Blank,Blank,Income,200.0
2018-11-03,2018,November,W44,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2018-11-01,2018,November,W44,Thursday,Last Month's Balance,October's Balance,Blank,Blank,Blank,Income,92.65
2018-10-28,2018,October,W43,Sunday,Cash Withdrawal,Cash Withdrawal + Current Balance,Blank,Blank,Blank,Income,180.0
